id_noticia,id_accion_contenciosa,id_conflicto,fecha,link,medio,tipo_medio,region,columna,localidad_accion,periodo,tipo_energia,subtipo_renovable,tipo_conflicto,tipo_accion,tipo_actor_demandante,actor_demandante,tipo_actor_demandado,actor_demandado,bajada
,,,2023-12-21,https://diarioelcentro.cl/2023/12/14/seremi-del-medio-ambiente-y-balloon-latam-impulsan-proyectos-sostenibles-en-el-maule/,Diario El Centro,,Maule,Hualañé,,,,,,,,,,,La Seremi del Medio Ambiente y Balloon Latam unen fuerzas para impulsar iniciativas participativas en gestión de residuos y agua en el
,,,2023-12-21,https://www.indh.cl/indh-de-maule-abordo-con-estudiantes-de-hualane-la-tercera-version-del-comic-arriba-de-la-pelota-en-el-marco-del-dia-mundial-de-nino-a/,Instituto Nacional de Derechos Humanos (INDH),,Maule,Hualañé,,,,,,,,,,,El INDH abordó con los adolescentes del establecimiento educacional la relevancia de la memoria. Este es precisamente el tema que aborda la
,,,2023-12-21,https://diarioelcentro.cl/2023/12/14/seremi-del-medio-ambiente-y-balloon-latam-impulsan-proyectos-sostenibles-en-el-maule/,Diario El Centro,,Maule,Licantén,,,,,,,,,,,La Seremi del Medio Ambiente y Balloon Latam unen fuerzas para impulsar iniciativas participativas en gestión de residuos y agua en el
,,,2023-09-20,https://www.df.cl/empresas/industria/arauco-suspende-indefinidamente-planta-de-celulosa-en-licanten-tras,Diario Financiero,,Maule,Licantén,,,,,,,,,,,La firma informó que la decisión implicará un impacto de US$ 55 millones y la desvinculación de aproximadamente 160 trabajadores directos.14 months ago
,,,2024-07-21,https://www.diarioelcentro.cl/2024/07/07/seremi-de-salud-declara-alerta-sanitaria-ambiental-en-linares-por-contaminacion/,Diario El Centro,,Maule,Linares,,,,,,,,,,,"La Seremi de Salud del Maule ha decretado una ""Alerta Sanitaria Ambiental"" en la comuna de Linares. Esto debido a los altos niveles de"
,,,2023-10-21,https://www.indh.cl/indh-de-maule-realizo-taller-practico-de-conflictos-socioambientales-con-dirigentes-sociales-de-la-zona-de-linares/,Instituto Nacional de Derechos Humanos (INDH),,Maule,Linares,,,,,,,,,,,INDH ya realizó otros dos encuentros de este tipo con organizaciones de la región. El propósito de la actividad es relevar la importancia
,,,2024-05-21,https://www.septimapaginanoticias.cl/el-cara-y-sello-del-proyecto-centro-de-manejo-de-residuos-piedra-larga,Séptima Página Noticias,,Maule,Linares,,,,,,,,,,,Iniciativa conocida popularmente como el relleno sanitario de cerro Gúmera enfrenta a ambientalistas e inversionistas.6 months ago
,,,2024-03-21,https://radio.uchile.cl/2024/03/17/no-zona-de-sacrificio-para-colbun-movimiento-ciudadano-levanta-alertas-por-proliferacion-de-proyectos-fotovoltaicos/,Radio Universidad de Chile,,Maule,Linares,,,,,,,,,,,"AR Panimávida Solar es la planta que pretende emplazarse en 160 hectáreas de terrenos agrícolas y que, según la organización, pone en riesgo"
,,,2023-12-21,https://g5noticias.cl/2023/11/29/seremi-del-medio-ambiente-del-maule-encabeza-jornada-de-formacion-para-forjadores-ambientales/,G5noticias,,Maule,Linares,,,,,,,,,,,"Al encuentro asistieron representantes de delegaciones de estudiantes de las provincias de Talca, Curicó, Linares y Cauquenes,"
,,,2023-02-19,https://mma.gob.cl/region-del-maule-calidad-del-aire-que-se-ha-visto-afectada-por-humo-originado-por-incendios-forestales/,mma.gob.cl,,Maule,Linares,,,,,,,,,,,Seremi del Medio Ambiente de la Región del Maule informó sobre monitoreo en línea de las concentraciones ambientales del material
