title,link,date
Chile. La entidad explicó que inició un procedimiento sancionatorio debido a incumplimientos ambientales detectados en su planta minera “Los,http://www.portalminero.com/pages/viewpage.action%3FpageId%3D99722396,hace 110 meses
Chile. La entidad explicó que inició un procedimiento sancionatorio debido a incumplimientos ambientales detectados en su planta minera “Los,http://www.portalminero.com/pages/viewpage.action%3FpageId%3D99722396,hace 110 meses
"“Hemos trabajado sin problemas con todas las administraciones anteriores, de todas las tendencias, siempre de buena fe y con altura de miras",https://laserenaonline.cl/2023/03/28/pequenos-mineros-anuncian-nueva-manifestacion-contra-gobernadora-krist-naranjo/,hace 18 meses
"Skip to end of metadata Page restrictions apply Attachments:2 Added by Editor Portal Minero, last edited by Editor Portal Minero on ago 14,",http://www.portalminero.com/pages/viewpage.action%3FpageId%3D99722698,hace 110 meses
Desde inicios de abril que una de las principales mineras de la comuna de Punitaqui ha estado en la palestra tras las deudas que mantiene,https://www.elovallino.cl/articulo/crisis-minera-punitaqui-anuncian-resolucion-reorganizacion-en-map/,hace 52 meses
Chile. La entidad explicó que inició un procedimiento sancionatorio debido a incumplimientos ambientales detectados en su planta minera “Los,http://www.portalminero.com/pages/viewpage.action%3FpageId%3D99722396,hace 110 meses
"El incidente se produjo en la ciudad de Punitaqui, ubicada en la región de Coquimbo. Usuarios llaman a tener cuidado y no transitar por el",https://www.latercera.com/la-tercera-tv/noticia/registran-abundante-bajada-de-agua-de-las-quebradas-producto-de-las-lluvias-en-el-norte/BHH3WI4YMNE2FAXMS3YYJIGDHA/,hace 4 meses
Esta semana alumnos del Liceo Alberto Gallardo Lorca de Punitaqui decidieron realizar una manifestación por una serie de problemas al,https://www.elovallino.cl/articulo/alumnos-punitaqui-exponen-problemas-interior-liceo/,hace 77 meses
Parlamentarias presentaron una serie de antecedentes que dan cuenta de distintos conflictos en los que se ha visto involucrada la empresa,https://interferencia.cl/articulos/solicitan-comision-investigadora-en-el-congreso-en-contra-de-aguas-san-isidro-por,hace 15 meses
El Gobierno Regional recomendó que la empresa Seda Chimbote se encargue de encontrar un método de tratamiento para hacer que el agua sea,https://www.infobae.com/peru/2024/08/25/crisis-ambiental-en-ancash-se-confirma-contaminacion-del-rio-santa-con-metales-pesados-y-no-es-apta-para-consumo-humano/,hace 1 mes
Los trabajos de desazolve en el río Pitillal son parte de las acciones de prevención y mitigación para evitar inundaciones durante el,https://vallartabanderas.com/desazolve-rio-pitillal-no-genera-impacto-ambiental/,hace 52 meses
