region,comuna,titulo,fecha,bajada,link,medio
Tarapacá,Iquique,Territorios de castigo social: El caso de los asentamientos costeros de Tarapacá,44 months ago,"Dr. Bosco González, Escuela de Sociología UNAP (SER+T) . Diego Jiménez, estudiante Sociología UNAP y Alexandra Gómez, Egresada de Sociología",https://edicioncero.cl/2021/04/territorios-de-castigo-social-el-caso-de-los-asentamientos-costeros-de-tarapaca/,Edición Cero
Tarapacá,Iquique,"Las montañas de ropa se esfumaron del desierto de Atacama, pero el problema no desapareció",11 months ago,Chile es el mayor importador de ropa de segunda mano de Sudamérica. Una foto reveló al mundo que muchas de esas prendas acaban en montañas,https://elpais.com/america-futura/2024-01-04/las-montanas-de-ropa-se-esfumaron-del-desierto-de-atacama-pero-el-problema-no-desaparecio.html,EL PAÍS
Tarapacá,Iquique,En Iquique darán el vamos al CircularFest2023,15 months ago,CircularFest2023 comienza mañana en Iquique con charlas de expertos nacionales e internacionales sobre el tema “Regiones circulares y,https://www.paiscircular.cl/economia-circular/en-iquique-daran-el-vamos-al-circularfest2023-con-actividades-en-torno-al-tema-regiones-circulares-y-emprendedoras/,País Circular
Tarapacá,Iquique,Expertos advierten sobre impacto en tamarugos por excesiva extracción de agua subterránea,15 months ago,El tamarugo es una especie endémica del norte de Chile y crece precisamente en la Pampa del Tamarugal entre los 1.000 y 1.100 metros de,https://www.pucv.cl/pucv/noticias/destacadas/expertos-advierten-sobre-impacto-en-tamarugos-por-excesiva-extraccion-de,Pontificia Universidad Católica de Valparaíso
Tarapacá,Iquique,"Desierto de Atacama: el ""cementerio tóxico"" de ropa que se descarta en otras partes del mundo",37 months ago,"Unas 59.000 toneladas de ropa anuales entran por la zona franca del puerto de Iquique, en la región de Tarapacá. Falta de lugares para",https://www.biobiochile.cl/especial/aqui-tierra/noticias/2021/11/09/desierto-de-atacama-el-cementerio-toxico-de-ropa-que-se-descarta-en-otras-partes-del-mundo.shtml,BioBioChile
Tarapacá,Iquique,La “cuestión indígena” y los derechos originarios en América,63 months ago,"Foto: Conadi. Los días 4 y 5 de setiembre de 2019, se realizó en Iquique, al norte de Chile, el “VI Congreso Internacional de Derecho",https://desinformemonos.org/la-cuestion-indigena-y-los-derechos-originarios-en-america/,Desinformémonos
Tarapacá,Iquique,Geografía de la Ropa desechada en Chile: Desierto de Atacama se ha convertido en un gran basural textil,36 months ago,La industria de ropa es una de las más contaminantes del mundo. Su producción implica el uso de grandes volúmenes de agua y además la,https://www.uchile.cl/noticias/182923/geografia-de-la-ropa-desechada-en-chile-la-moda-que-nos-mata,Universidad de Chile
Tarapacá,Pica,Autoridades,68 months ago,"Ministra del Medio Ambiente. Doctora en Ciencias Atmosféricas de la Universidad de Oxford, Reino Unido. Se desempeñó como profesora asociada en el",https://mma.gob.cl/autoridades/,mma.gob.cl
Tarapacá,Pica,La SMA presentó cargos contra Collahuasi por supuesta infracción a su Resolución de Calificación Ambiental,84 months ago,Compartir. Son 13 las supuestas infracciones a la RCA del proyecto entre las que se cuenta la ausencia de información en el seguimiento de,https://www.reporteminero.cl/noticia/noticias/2017/12/la-sma-presento-cargos-contra-collahuasi-por-supuesta-infraccion-a-su-resolucion-de-calificacion-ambiental,Reporte Minero
Tarapacá,Pozo Almonte,Refuerzan campaña “El Otro Plan” en la comuna de Pozo Almonte,1 week ago,Con recomendaciones preventivas SENDA Tarapacá junto al equipo de SENDA Previene y Carabineros de Pozo Almonte reforzó la campaña el Otro,https://www.soychile.cl/Iquique/Sociedad/2024/12/24/889032/campana-comuna-pozo-almonte.html,soychile.cl
Tarapacá,Pozo Almonte,SMA formula cargo grave contra Minera Cosayach Yodo por elusión al SEIA en proyecto de ampliación de planta química de faena Soledad,3 months ago,"El titular modificó sustantivamente la extensión, magnitud y duración de los impactos ambientales del proyecto, al relocalizar sus",https://portal.sma.gob.cl/index.php/sma-formula-cargo-grave-contra-minera-cosayach-yodo-por-elusion-al-seia-en-proyecto-de-ampliacion-de-planta-quimica-de-faena-soledad/,Superintendencia Del Medio Ambiente – Gobierno de Chile
Tarapacá,Pozo Almonte,Minera de Fra Fra se instaló en terreno fiscal tras ser expulsada de predio privado que explotó por 28 años,9 months ago,"En 2022, la justicia ordenó a Francisco Javier Errázuriz Ovalle que se retirara del terreno privado de otra minera en Pozo Almonte,",https://interferencia.cl/articulos/minera-de-fra-fra-se-instalo-en-terreno-fiscal-tras-ser-expulsada-de-predio-privado-que,Interferencia |
Tarapacá,Pozo Almonte,Cómo pagar el permiso de circulación en la municipalidad de Pozo Almonte: Revisa el acceso directo,1 month ago,El permiso de circulación en Chile es un trámite obligatorio para todos los vehículos que transitan por las calles del país.1 month ago,https://www.meganoticias.cl/nacional/467838-pago-del-permiso-de-circulacion-en-la-municipalidad-de-alto-hospicio-revisa-el-acceso-directo-para-cancelarlo.html,Meganoticias
Tarapacá,Pozo Almonte,Copec adquiere parque fotovoltaico Granja Solar en Pozo Almonte en US$ 91 millones,8 months ago,Activos corresponden a proceso de Liquidación de la Unidad Económica María Elena Solar.8 months ago,https://www.df.cl/empresas/energia/copec-adquiere-parque-fotovoltaico-granja-solar-en-pozo-almonte-en-us,Diario Financiero
Tarapacá,Pozo Almonte,ELECCIONES 2024 | Partidos políticos inscriben pactos y precandidaturas en Tarapacá,8 months ago,"El cierre del plazo para la inscripción de pactos de los partidos políticos, en preparación para las Elecciones Primarias de Alcaldes y",https://radiopaulina.cl/2024/04/11/elecciones-2024-partidos-politicos-inscriben-pactos-y-precandidaturas-en-tarapaca/,Radio Paulina
Tarapacá,Pozo Almonte,“Se propaga rápidamente”: detectan en el país una de las plagas más dañinas a nivel mundial,8 months ago,"Recientemente una zona del norte del país debió ser puesta en cuarentena, debido al hallazgo de esta especie de la que se creía erradicada.8 months ago",https://www.latercera.com/que-pasa/noticia/se-propaga-rapidamente-detectan-en-el-pais-una-de-las-plagas-mas-daninas-a-nivel-mundial/547PWNTWRZALDMDH7KACC6V74U/,La Tercera
